银行,厂商,机器型号,设备类型,操作系统,杀毒软件,是否有测试机,SP测试版本,中间件测试版本,生产使用SP版本,生产使用中间件版本,生产设备数量,银行前置P,备注
光大银行,WINCOR,WINCOR_2050,取款机(ATM),XP,无,有,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,设备数量：27台
光大银行,WINCOR,WINCOR_2050XE,取款机(ATM),,,,,,SP4160,KAL068,,,设备数量：70台
光大银行,WINCOR,WINCOR_400,取款机(ATM),XP,无,无,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,设备数量：2台
光大银行,WINCOR,WINCOR_4000,存取款一体机(CRS),XP,无,有,ProbaseC,,ProbaseC,KAL068/KAL030,,,设备数量：64台
光大银行,WINCOR,WINCOR_4060,存取款一体机(CRS),XP SP3,无,有,ProBase11.20 B6,Kal068,ProBase11.20 B6,Kal068,,,设备数量：13台
光大银行,WINCOR,WINCOR_450,取款机(ATM),XP,无,无,ProDevice4160,Kal068,ProDevice4160,KAL068/KAL030,,,
光大银行,迪堡,DIEBOLD_10XX,取款机(ATM),XP,无,无,,,3.2.0.11_2009.Q2B,KAL068/KAL030,,,该机型已在生产上被淘汰！请知晓！！！
光大银行,迪堡,DIEBOLD_3030,存取款一体机(CRS),XP,无,有,,,3.2.0.11_2009.Q2B,KAL068/KAL030,,,"该机型已在生产上被淘汰！请知晓！！！
设备数量：4台"
光大银行,东信,东信_2000,取款机(ATM),,,,SP4160,,SP4160,KAL068,,,设备数量：92台
光大银行,东信,东信_2000XE,取款机(ATM),,,,,,SP4160,KAL068,,,设备数量：954台
光大银行,东信,东信_2050,取款机(ATM),,,,,,SP4160,KAL068,,,设备数量：75台
光大银行,东信,东信_2050L,取款机(ATM),,,,,,SP4160,KAL068,,,设备数量：33台
光大银行,东信,东信_2050XE,取款机(ATM),,,,,,SP1170,KAL068,,,设备数量：1024台
光大银行,东信,东信_8100,取款机(ATM),,,,SP2.0.6.2,,SP2.0.6.2,KAL068,,,设备数量：65台
光大银行,东信,东信_8501,存取款一体机(CRS),XP,,,SP2.0.9.1,Kal068,SP2.0.6.38,Kal068,,,
光大银行,广电,DT E22L,取款机(ATM),,,无,,,SPV4.3.12.63,KAL068,,,设备数量：20台
光大银行,广电,DT E68L,存取款一体机(CRS),XP SP3,无,无,GRG SP4.3.12.63,Kal068,GRG SP4.3.12.63,KAL068,,,设备数量：15台
光大银行,广电,DT H22L,取款机(ATM),,,无,,,SPV4.3.12.63,KAL068,,,设备数量：132台
光大银行,广电,DT H22NL,取款机(ATM),,,,,,SPV4.3.12.63,KAL068,,,设备数量：34台
光大银行,广电,DT H68L,存取款一体机(CRS),XP SP3,无,有,GRG SP4.3.12.63.0803,Kal068,GRG SP4.3.12.63.0803,KAL068,,,设备数量：154台
光大银行,广电,DT H68NL,存取款一体机(CRS),XP SP3,无,有,GRG SP4.3.13.04.0266,Kal068,GRG SP4.3.12.63.0803,KAL068,,,设备数量：56台
光大银行,广电,GRG_E22,取款机(ATM),XP,无,无,GRG SP4.3.12.63,,GRG SP4.3.12.63,Kal068,,,设备数量：17台
光大银行,广电,GRG_E68,存取款一体机(CRS),XP,无,有,GRG SP4.3.12.63.0803,,GRG SP4.3.12.63.0803,Kal068,,,设备数量：52台
光大银行,广电,GRG_F16,取款机(ATM),XP,无,无,GRG SP4.3.12.63,,GRG SP4.3.12.63,Kal068,,,设备数量：2台
光大银行,广电,GRG_H22,取款机(ATM),XP,无,有,GRG SP4.3.12.63,Kal068,GRG SP4.3.12.63,Kal068,,,设备数量：233台
光大银行,广电,GRG_H22N,取款机(ATM),XP,无,有,GRG SP4.3.12.63,,GRG SP4.3.12.63,KAL068/KAL030,,,设备数量：72台
光大银行,广电,GRG_H68,存取款一体机(CRS),XP,无,无,GRG SP4.3.13.04.0266,,GRG SP4.3.12.63,KAL068/KAL030,,,设备数量：249台
光大银行,广电,GRG_H68N,存取款一体机(CRS),XP,无,有,GRG SP4.3.12.63.0803,,GRG SP4.3.12.63,KAL068/KAL030,,,设备数量：105台
光大银行,和美,ACI6100,发卡机,XP,,有,HMSP_V1.0.4,Kal068,HMSP_V1.0.3,Kal068,1,,
光大银行,恒银,CASH37AG-JR1L,查询机,XP,无,,,,,,,,
光大银行,聚龙股份,JL8220,存取款一体机(CRS),XP SP3,无,有,JLXFS300V1.0.0.2,Kal068,,,0,,
光大银行,浪潮,浪潮_1511,查询机,XP SP2,无,有,3.1.22,Kal068,3.1.22,Kal068,,,
光大银行,浪潮,浪潮_1511,发卡机,XP,,有,V3.2.29,Kal068,V3.2.28\V3.2.29,Kal068,486,,生产设备数量未剔除已撤销设备
光大银行,浪潮,浪潮_1511TN,发卡机,XP,,有,V3.2.31,Kal068,V3.2.31\V3.2.29,Kal068,450,,生产设备数量未剔除已撤销
光大银行,浪潮,浪潮_1711TN,VTM,WIN7,无,有,3.7.6,ZJAX,3.7.5,ZJAX2.0,20,,
光大银行,南天,南天_4200,查询机,XP SP2,无,有,3.0.025,Kal068,3.0.025,Kal068,,,
光大银行,日立,HT_2845SR_12款,存取款一体机(CRS),XP SP3,无,有,5.65,Kal068,5.65,Kal068,,,
光大银行,日立,HT_2845V,存取款一体机(CRS),XP SP3,无,有,SP100411,Kal068,SP100327,Kal068,,,设备数量：1305台
光大银行,晓星,HYOSUNG_5050,取款机(ATM),,,,,,SPV20120322,KAL068,,,设备数量：377台
光大银行,晓星,HYOSUNG_5600,取款机(ATM),,,,,,SPV20110531,KAL068,,,设备数量：102台
光大银行,晓星,HYOSUNG_CDUM,取款机(ATM),,,,,,SPV20120322,KAL068,,,设备数量：16台
光大银行,晓星,HYOSUNG_MX8000A,存取款一体机(CRS),,,,,,CEB_WOSA_UPDATE_MX8000A_SERIES(20140320),KAL068,,,设备数量：21台
光大银行,晓星,HYOSUNG_TTW,取款机(ATM),XP,无,有,,,SPV20120322,KAL068/KAL030,,,设备数量：31台
光大银行,晓星,HYOSUNG_TTW3,取款机(ATM),XP,无,无,,,SPV20120322,KAL068/KAL030,,,设备数量：58台
光大银行,证通,ZT2071_大堂,查询机,XP SP3,无,有,SP3.1.12,Kal068,SP3.1.12,Kal068,,,
光大银行,证通,ZT2832_壁挂,查询机,XP SP3,无,有,SP3.1.12,Kal068,SP3.1.12,Kal068,,,
汉口银行,NCR,NCR_58XX,取款机(ATM),XP,NOD,有,5.0.1,Kal075,5.0.1,Kal075,19,,
汉口银行,NCR,NCR_6622,取款机(ATM),XP,NOD,无,5.0.1,Kal075,5.0.1,Kal075,7,,
汉口银行,NCR,NCR_6625,取款机(ATM),XP,NOD,有,5.0.1,Kal075,5.0.1,Kal075,126,,
汉口银行,NCR,NCR_6633,存取款一体机(CRS),XP,NOD,有,1.0.1.3,Kal075,暂未投产,暂未投产,,,
汉口银行,OKI,OKI_21S,存取款一体机(CRS),XP,NOD,有,1.9.9.0,Kal075,1.9.9.0,Kal075,30,,
汉口银行,OKI,OKI_21SE,存取款一体机(CRS),XP,NOD,有,2.1.7.0,Kal075,2.1.7.0,Kal075,2,,
汉口银行,WINCOR,WINCOR_2000,取款机(ATM),XP,NOD,有,Probase 11.10,Kal075,Probase 11.10,Kal075,22,,
汉口银行,WINCOR,WINCOR_285,取款机(ATM),XP,NOD,有,Probase 11.30.07,Kal075,Probase 11.30.07,Kal075,1,,
汉口银行,浪潮,浪潮_1511TN,查询机,XP,NOD,无,3.1.14,Kal075,3.1.14,Kal075,13,,
汉口银行,浪潮,浪潮_1511W,查询机,XP,NOD,有,3.1.14,Kal075,3.1.14,Kal075,85,,
汉口银行,南天,南天_4230,查询机,XP,NOD,有,3.0.0.4,Kal075,3.0.0.4,Kal075,52,,
汉口银行,日立,HT_2845A,存取款一体机(CRS),NT,NOD,无,SP100201,Kal075,SP100201,Kal075,,,此机型没有切换到跨平台，使用旧系统。
汉口银行,日立,HT_2845AE,存取款一体机(CRS),XP,NOD,无,SP100201,Kal075,SP100201,Kal075,,,此机型没有切换到跨平台，使用旧系统
汉口银行,日立,HT_2845V,存取款一体机(CRS),XP,NOD,有,SP100330,Kal075,SP100327,Kal075,126,,SP在使用IC卡项目时升级到316版本
汉口银行,晓星,HYOSUNG_MX5600T,取款机(ATM),XP,NOD,,CB(HK)_WOSA_UPDATE_MX5600_SERIES(20140507),Kal075,,Kal075,,,暂未上线
汉口银行,怡化,YH_6040W,存取款一体机(CRS),XP,NOD,有,YHSP_V5.1.2.23_Build193,Kal075,YHSP_V5.1.2.23_Build193,Kal075,5,,
杭州银行,NCR,NCR_58XX,取款机(ATM),XP,无,有,4.5.1,KAL068,4.5.1,KAL068,81,,5877、5887共计88台左右
杭州银行,NCR,NCR_6622,取款机(ATM),XP,无,无,,KAL068,4.5.1,KAL068,2,,
杭州银行,NCR,NCR_6625,取款机(ATM),XP,无,有,4.5.1,KAL068,4.5.1,KAL068,63,,
杭州银行,OKI,OKI_21S,存取款一体机(CRS),XP,无,无,,KAL068,1.9.7.0,Kal068,2,,
杭州银行,OKI,OKI_21SE,存取款一体机(CRS),XP SP3,,有,1.9.5.0,Kal068,1.9.7.0,,,,生产上无此机型
杭州银行,迪堡,OPTEVA_569,取款机(ATM),XP SP3,,有,2014Q1A,,,,1,,无生产机型，SP及应用测试通过，行方未正式采购。SP版本需要等厂商修改后提交正式版本上线
杭州银行,东信,东信_8100,取款机(ATM),XP,无,有,SP1285+2.0.6.36,KAL068,SP1285,Kal068,9,,SP版本目前正在转换使用新的版本2.0.6.36，新装机机器使用该版本
杭州银行,广电,GRG_G22,取款机(ATM),XP,无,有,GRG SP4.3.12.47,KAL068,GRG SP4.3.12.47,Kal068,10,,已上线（5台，2台在用）
杭州银行,广电,GRG_H22N,取款机(ATM),XP SP3,,有,4.3.13.04.0227,Kal068,4.3.13.04.0227,Kal068,79,,生产上H22N和H22NL共计60
杭州银行,日立,HT_2845SR,存取款一体机(CRS),XP SP3,,无,HIT-SR-SP-06055S,Kal068,HIT-SR-SP-06055S,,103,,
杭州银行,日立,HT_2845V,存取款一体机(CRS),XP,无,有,SP100410P,KAL068,SP100410P,KAL068,192,,
杭州银行,怡化,YH_6040W,存取款一体机(CRS),XP SP3,,有,YHSPupdate_CDS6040T&W_V003.002.004,Kal068,YHSPupdate_CDS6040T&W_V003.002.004,Kal068,68,,
华兴银行,NCR,NCR_6635,存取款一体机(CRS),XP SP3,,有,1.1.1.0,Kal075,1.0.1.9,KAL075,5,,生产环境5台机器(全部在汕头)
华兴银行,长城,BST312,查询机,XP,,,,,,,4,,BST312G
华兴银行,长城,BST802,回单机|填单机,WIN7,无,有,1.0.1.0,ZJAXV2_0_0_Update_018P_T2,1.0.1.0,ZJAXV2_0_0_Update_018P_T2,,华腾,
华兴银行,长城湘计,湘计_305G,查询机,XP SP3,,有,3.0.5,Kal075,3.0.5,KAL075,5,,生产环境2台机器（广州汕头各一台）
华兴银行,长城湘计,湘计_306G,查询机,XP SP3,,无,3.0.5,Kal075,3.0.5,Kal075,2,,生产环境3台
华兴银行,广电,GRG_H22N,取款机(ATM),XP SP3,,有,4.3.13.04.0266,Kal075,4.3.12.63,KAL075,10,,"4.3.12.63增加冠字号功能

4.3.13.04.0266新版人民币支持（20151118目前生产还未升级）"
华兴银行,广电,GRG_H68N,存取款一体机(CRS),XP SP3,,有,4.3.13.04.0266,Kal075,4.3.12.63,KAL075,17,,"4.3.12.63支持冠字号功能
4.3.13.04.0266新版人民币支持（20151118目前生产一台设备已升级）"
华兴银行,恒银,CASH39AG_JR1,查询机,XP SP3,,有,1.3.1（V20131206）,Kal075,1.3.1（V20131206）,Kal075,2,,"已在东莞分行投产
正式版本为《Update_HY_3.0.0.0_SP(1.3.1) V20131206(华兴银行BSM)》"
华兴银行,恒银,CASH80AWG,存取款一体机(CRS),XP SP3,,有,1.3.3.0（V20140708）,Kal075,1.3.1(20131119),Kal075,3,,"目前已投产3台设备
正式版本为 Cashway CEN XFS SP setup(20131119)

sp测试版本生产版本不一致说明：1.3.3.0（V20140708）20151009在测试机房升级进行测试，后续升级到生产"
华兴银行,新达通,C90-NH3260,存取款一体机(CRS),XP,无,无,华兴银行跨平台SP安装V1.0.2,Kal075,华兴银行跨平台SP安装V1.0.2,Kal075,0,,入场测试，后未采购
华兴银行,银之杰,H7000,回单机|填单机,WIN7,,无,,,,,,,投标中。未中标，目前无该设备
华兴银行,怡化,YH_6040W,存取款一体机(CRS),XP SP3,,无,003.002.001,Kal075,003.002.001,Kal075,7,,"支持冠字号功能
正式版本：YHSPupdate_CDS6040T&W_V003.002.001"
徽商银行,NCR,NCR_5877,取款机(ATM),XP,,无,5.0.1,ZJAXV2_0_0_Update_012P,5.0.1,ZJAXV2_0_0_Update_012P,45,,
徽商银行,NCR,NCR_5886,取款机(ATM),XP,无,无,5.0.1,ZJAXV2_0_0_Update_012P,5.0.1,ZJAXV2_0_0_Update_012P,21,,
徽商银行,NCR,NCR_5887,取款机(ATM),XP,无,有,5.0.1,ZJAXV2_0_0_Update_012P,5.0.1,ZJAXV2_0_0_Update_012P,115,,
徽商银行,NCR,NCR_6622,取款机(ATM),XP,无,无,5.0.1,ZJAXV2_0_0_Update_012P,5.0.1,ZJAXV2_0_0_Update_012P,14,,
徽商银行,NCR,NCR_6625_new,取款机(ATM),XP,无,无,6.1.1,ZJAXV2_0_0_Update_012P,6.1.1,ZJAXV2_0_0_Update_012P,6,,
徽商银行,NCR,NCR_6625_old,取款机(ATM),XP,无,有,5.0.1,ZJAXV2_0_0_Update_012P,5.0.1,ZJAXV2_0_0_Update_012P,192,,
徽商银行,奥拓,AS8000L,回单机|填单机,WIN7,无,有,,ZJAXV2_0_0_Update_019P,1.0.0.1,ZJAXV2_0_0_Update_019P,,紫金,
徽商银行,北京兆维,CWEA01,回单机|填单机,WIN7,无,有,,ZJAXV2_0_0_Update_016P,暂未投产,暂未投产,,紫金,
徽商银行,辰通,TC4000,发卡机,XP SP3,无,有,V2.0.0.0,ZJAXV2_0_0_Update_012P,V2.0.0.0,ZJAXV2_0_0_Update_012P,1,紫金,
徽商银行,辰通,TC7000,查询机,XP,无,有,V2.0.0.0,ZJAXV2_0_0_Update_018P,V2.0.0.0,ZJAXV2_0_0_Update_018P,,,
徽商银行,迪堡,OPTEVA_378FL,存取款一体机(CRS),XP,,无,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,1,,
徽商银行,迪堡,OPTEVA_512,取款机(ATM),XP,,有,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,22,,
徽商银行,迪堡,OPTEVA_522FL,取款机(ATM),XP,,无,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,3,,
徽商银行,迪堡,OPTEVA_562,取款机(ATM),XP,,有,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,63,,
徽商银行,迪堡,OPTEVA_562C,取款机(ATM),XP,,有,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,Opteva-XFS-4.0.3.8-2014Z1A,ZJAXV2_0_0_Update_012P,19,,
徽商银行,广电,DT_7000P5800,柜员现金循环出钞机(TCR),XP,无,无,4.3.13.04.0266,ZJAXV2_0_0_Update_018P,4.3.13.04.0266,ZJAXV2_0_0_Update_018P,,紫金,
徽商银行,国光,GS1010,发卡机,XP,无,有,ggspSetup_HSYH_V1.7,ZJAXV2_0_0_Update_012P,ggspSetup_HSFKJ_2016-07-04_V1.1.1.1,ZJAXV2_0_0_Update_019P,1,紫金,
徽商银行,国光,GS1550B,回单机|填单机,WIN7,无,有,ggspSetup_HSHDJ_V2.0,ZJAXV2_0_0_Update_016P,ggspSetup_HSHDJ_V1.1.1.1,暂未投产,10,紫金,
徽商银行,国光,GT5800F,柜员现金循环出钞机(TCR),XP,无,无,ggsp_V1.0.1,ZJAXV2_0_0_Update_018P,ggsp_V1.0.1,ZJAXV2_0_0_Update_018P,,紫金,
徽商银行,国光,HT_2845SR,存取款一体机(CRS),XP,,有,STD060405,ZJAXV2_0_0_Update_012P,STE060501,ZJAXV2_0_0_Update_012P,12,,
徽商银行,国光,HT_2845V,存取款一体机(CRS),XP,,有,SP100327,ZJAXV2_0_0_Update_012P,SP100409,ZJAXV2_0_0_Update_012P,302,,
徽商银行,国光,NB2031B+,查询机,XP,无,有,ggspSetup_Common_V1.1.1.1,,ggspSetup_Common_V1.1.1.1,,,紫金,
徽商银行,国光,NB2050B2,三农终端,XP,无,有,ggspSetup_Common_V1.1.1.1,,ggspSetup_Common_V1.1.1.1,,,紫金,
徽商银行,三泰,ST-NC01,回单机|填单机,WIN7,无,无,1.0.0.5,ZJAXV2_0_0_Update_015P,1.0.0.5,ZJAXV2_0_0_Update_016P,,紫金,
徽商银行,证通,ZT2507,三农终端,XP,,有,,,V3.00.001,,,紫金,
徽商银行,怡化,YH_6040T,存取款一体机(CRS),XP,,无,YHSP_V5.1.2.24_Build312,ZJAXV2_0_0_Update_012P,5.1.3.3 Build698,ZJAXV2_0_0_Update_012P,22,,
徽商银行,怡化,YH_6040W,存取款一体机(CRS),XP,,有,YHSP_V5.1.2.24_Build312,ZJAXV2_0_0_Update_012P,5.1.3.3 Build698,ZJAXV2_0_0_Update_012P,55,,
建设银行,NCR,NCR_58XX,取款机(ATM),NT,McAfee,无,4.1.1,Kal068,4.1.1/4.2.1,KAL030/KAL061/KAL068,,,
建设银行,NCR,NCR_58XX,取款机(ATM),XP SP2,McAfee,无,4.1.1,Kal068,4.1.1/4.2.1,KAL030/KAL061/KAL068,,,
建设银行,NCR,NCR_58XX（BNA）,存取款一体机(CRS),XP SP2,McAfee,无,4.1.1,Kal068,4.1.1/4.2.1,KAL030/KAL061/KAL068,3142,,上海有生产机器
建设银行,NCR,NCR_6625,取款机(ATM),XP SP3,McAfee,无,5.1.0,Kal068,4.5.1/5.1.0,KAL030/KAL061/KAL068,,,
建设银行,NCR,NCR_6674,存款机(CDM),XP SP2,McAfee,无,4.2.1,Kal068,4.2.1,KAL030/KAL061/KAL068,,,
建设银行,NCR,NCR_6676,存取款一体机(CRS),XP SP2,McAfee,无,4.2.1,Kal068,4.2.1,KAL030/KAL061/KAL068,,,
建设银行,WINCOR,WINCOR_2050XE,取款机(ATM),XP SP2,McAfee,有,ProBase11.11/WOSA 41.61,Kal068,ProBase11.10/WOSA 41.60,KAL030/KAL061/KAL068,10387,,ProBase11.11/WOSA 41.61版本支持非接IC卡
建设银行,长城湘计,1000B,VTM,WIN7,,有,1.0.2.3,Kal075,1.0.2.3,Kal075,15,,
建设银行,长城湘计,700B,VTM,WIN7,,有,1.0.2.3,Kal075,1.0.2.3,Kal075,10,,
建设银行,长城湘计,湘计_305G,查询机,XP SP2,McAfee,有,V1.0.3,Kal068,V1.0.3,Kal065/Kal068,183,,
建设银行,辰通,TC4000,查询机,XP SP2,McAfee,有,3.0.0.1.3,Kal068,3.0.0.1.3,Kal065/Kal068,613,,
建设银行,迪堡,DIEBOLD_10XX,取款机(ATM),NT,McAfee,无,2010Q3F,Kal068,2009Q4F,KAL030/KAL061/KAL068,13104,,
建设银行,迪堡,DIEBOLD_3030,存取款一体机(CRS),XP SP2,McAfee,无,3.2.0.11-2009Q2B,Kal068,2008Q2D,KAL030/KAL061/KAL068,,,
建设银行,迪堡,OPTEVA_328,存取款一体机(CRS),XP SP2,McAfee,有,Opteva-XFS-3.9.0.6-2013Y2B,Kal068,2009Q4F/2010Q3F/2012Q1A/2012Y2B/2013Y2B,KAL030/KAL061/KAL068,,,"Opteva-XFS-3.9.0.6-2012Q1A支持冠字号
Opteva-XFS-3.9.0.6-2012Y2B支持非接IC卡"
建设银行,迪堡,OPTEVA_522,取款机(ATM),XP SP2,McAfee,无,Opteva-XFS-3.9.0.6-2013Y2B,Kal068,2009Q4F/2010Q3F/2012Q1A/2012Y2B/2013Y2B,KAL030/KAL061/KAL068,,,Opteva-XFS-3.9.0.6-2012Y2B支持非接IC卡
建设银行,迪堡,OPTEVA_562,取款机(ATM),XP SP2,McAfee,有,Opteva-XFS-3.9.0.6-2013Y2B,Kal068,2009Q4F/2010Q3F/2012Q1A/2012Y2B/2013Y2B,KAL030/KAL061/KAL068,,,Opteva-XFS-3.9.0.6-2012Y2B支持非接IC卡
建设银行,迪堡,OPTEVA_760,取款机(ATM),XP SP2,McAfee,无,Opteva-XFS-3.9.0.6-2013Y2B,Kal068,2009Q4F/2010Q3F/2012Q1A/2012Y2B/2013Y2B,KAL030/KAL061/KAL068,,,Opteva-XFS-3.9.0.6-2012Y2B支持非接IC卡
建设银行,方迪,ST-9850,查询机,XP SP2,McAfee,无,20110707,Kal068,20110707,Kal068,38,,
建设银行,方迪,ST-9870,查询机,XP SP2,McAfee,有,20110707,Kal068,20110707,Kal065/Kal068,112,,
建设银行,广电,GRG_F16,取款机(ATM),XP SP2,McAfee,无,GRG SP4.3.12.63.0505,Kal068,GRG SP4.3.12.37/GRG SP4.3.12.63,KAL030/KAL061/KAL068,6718,,"SP4.3.12.37支持IC卡
SP4.3.12.63.0505支持非接IC卡（对应大版本号GRG XFS SP4.0 WITH SP10）"
建设银行,广电,GRG_H22,取款机(ATM),XP SP2,McAfee,有,GRG SP4.3.12.63.0505,Kal068,GRG SP4.3.12.37/GRG SP4.3.12.63,KAL030/KAL061/KAL068,,,"SP4.3.12.37支持IC卡
SP4.3.12.63.0505支持非接IC卡（对应大版本号GRG XFS SP4.0 WITH SP10）"
建设银行,广电,GRG_H22N,取款机(ATM),XP SP2,McAfee,有,GRG SP4.3.12.63.0505,Kal068,GRG SP4.3.12.37/GRG SP4.3.12.63,Kal068,,,"SP4.3.12.37支持IC卡
SP4.3.12.63.0505支持非接IC卡（对应大版本号GRG XFS SP4.0 WITH SP10）"
建设银行,广电,GRG_H68N,存取款一体机(CRS),XP SP2,McAfee,有,,Kal068,,Kal068,,,
建设银行,广电,I60,VTM,WIN7,,有,4.3.0.12.0000,Kal075,4.3.0.12.0000,Kal075,20,,
建设银行,广电,I61,VTM,WIN7,,有,4.3.0.12.0000,Kal075,4.3.0.12.0000,Kal075,10,,
建设银行,国光,NB2031B,查询机,XP SP2,McAfee,有,3.1.0,Kal068,3.1.0,Kal068,265,,
建设银行,恒银,CASH80AWI,取款机(ATM),XP SP2,McAfee,有,,Kal068,,Kal068,,,
建设银行,浪潮,浪潮_1511,查询机,XP SP2,McAfee,有,3.1.11,Kal068,3.1.11,Kal065/Kal068,495,,
建设银行,联迪,ACM-8900,查询机,XP SP2,McAfee,有,3.0.4,Kal068,3.0.4,Kal065/Kal068,49,,
建设银行,南天,南天_4200Z20,查询机,XP SP2,McAfee,有,3.0.014,Kal068,3.0.014,Kal065/Kal068,866,,
建设银行,日立,HT_2845AE,存取款一体机(CRS),XP SP2,McAfee,无,,Kal068,SP10002/SP100201/SP100309/SP100311,KAL030/KAL061/KAL068,0,,SP100311解决国际IC卡吞卡问题
建设银行,日立,HT_2845SR_13款,存取款一体机(CRS),XP SP3,McAfee,有,VDA655,Kal068,,Kal068,,,
建设银行,日立,HT_2845V,存取款一体机(CRS),XP SP2,McAfee,有,SP100328,Kal068,SP100201/SP100305/SP100309/SP100311/SP100315/SP100318/SP100319/SP100321/SP100324/SP100327/SP100328,KAL030/KAL061/KAL068,14285,,"SP100311解决国际IC卡吞卡问题
SP100315支持冠字号功能
SP100321支持非接IC卡"
建设银行,日立,HT_2845W,存取款一体机(CRS),XP SP2,McAfee,无,SP100321,Kal068,SP10002/SP100201/100305/100309/100311/SP100315,KAL061/KAL068,10,,福建有生产机器
建设银行,御银,KingTeller_A5,取款机(ATM),XP SP2,McAfee,有,1.0.9,Kal068,1.0.5/1.0.6/1.0.7/1.0.8/1.0.9,Kal068,4515,,1.0.8支持非接IC卡
建设银行,御银,KingTeller_K3,存取款一体机(CRS),XP SP2,McAfee,有,,Kal068,,,,,
建设银行,证通,ZT2071,查询机,XP SP2,McAfee,有,SP400001,Kal068,SP400001,Kal065/Kal068,1738,,
建设银行,怡化,YH_6040T,存取款一体机(CRS),XP SP2,McAfee,有,077,Kal068,072/074/075/076/077,Kal068,16054,,"072支持冠字号功能
074支持非接IC卡
075增加对T设备的冠字号功能支持
077支持退卡器模块"
建设银行,怡化,YH_6040W,存取款一体机(CRS),XP SP2,McAfee,有,077,Kal068,072/074/075/076/077,KAL068,,,"072支持冠字号功能
074支持非接IC卡
077支持退卡器模块"
交通银行,NCR,NCR_58XX,取款机(ATM),XP SP2,无,有,,,NCR-SP(04.02.01),KAL068,1923,棠棣和国光合作开发,
交通银行,NCR,NCR_6622,取款机(ATM),XP,无,无,,Kal068,04.05.01;NCR SP 06.01.01,Kal068,,,
交通银行,NCR,NCR_6625,取款机(ATM),XP SP2,无,有,NCR-SP(04.05.01)、NCR SP 06.01.01、NCR退卡器SPV1.0.0_20141210,,NCR-SP(04.05.01)、NCR SP 06.01.01、NCR退卡器SPV1.0.0_20141210,KAL068,,,
交通银行,NCR,NCR_6626,取款机(ATM),XP SP3,无,无,,,NCR-SP(04.05.01)、NCR SP 06.01.01、NCR退卡器SPV1.0.0_20141210,KAL068,,,
交通银行,OKI,OKI_21S,存取款一体机(CRS),XP SP3,无,有,1.9.8.0,,1.9.8.0,KAL068,1374,,有：前面机、后面机
交通银行,OKI,OKI_21SE,存取款一体机(CRS),XP SP3,无,有,2.1.3.0,,2.1.3.0,KAL068,,,有：前面机、后面机
交通银行,WINCOR,WINCOR_2000,取款机(ATM),XP SP2,无,无,,,SP 1.03,KAL068,916,,有：前面机、后面机
交通银行,WINCOR,WINCOR_2050XE,取款机(ATM),XP SP2,无,有,,,Probase 11.10,KAL068,,,"有：前面机、后面机；
2050新机器安装的系统为XP SP3"
交通银行,WINCOR,WINCOR_4000,取款机(ATM),XP SP2,无,无,,,SP 1.03,KAL068,,,有：前面机、后面机
